name,mlbam
Casey Mize,663554
Garrett Whitlock,676477
Tarik Skubal,669373
Josh Hader,623352
Kenley Jansen,445276
Nick Pivetta,601713
Logan Webb,657277
Dylan Cease,656302
Joe Musgrove,605397
Justin Steele,657006
Garrett Crochet,676979
Edward Cabrera,665795
Shane Bieber,669456
Cole Ragans,666142
Robert Garcia,676395
Max Fried,608331
Tyler Glasnow,607192
Ryan Helsley,664854
Hunter Greene,668881
Logan Henderson,701656
Hunter Brown,686613
Brandon Woodruff,605540
Erik Sabrowski,681870
Kris Bubic,663460
Jared Jones,683003
Robert Suarez,663158
Blake Snell,605483
Ben Brown,676962
Jakob Junis,596001
Carlos Rodon,607074
Connelly Early,813349
