batter,n_qual_years,pa_pre,pa_playoff,fp_pre,fp_playoff,lift_std,career_rate_pre,career_rate_playoff,career_playoff_lift_pct,player_name,team,primary_position
595751,3,898.0,255.0,50.0,63.0,378.33798510424594,0.0556792873051225,0.24705882352941178,343.7176470588235,,,
669707,3,649.0,382.0,72.0,100.0,139.82660105286408,0.11093990755007704,0.2617801047120419,135.96567771960443,,,
455104,3,740.0,252.0,133.0,97.0,23.295343981389127,0.17972972972972973,0.38492063492063494,114.16636830170665,,,
666310,3,722.0,311.0,98.0,89.0,178.33588422822478,0.13573407202216067,0.2861736334405145,110.83404422862392,Bo Naylor,CLE,C
666134,3,759.0,365.0,102.0,94.0,83.48039162619469,0.13438735177865613,0.25753424657534246,91.63577759871072,,,
622682,4,616.0,451.0,78.0,105.0,69.57057278913943,0.1266233766233766,0.2328159645232816,83.86491557223266,,,
621438,3,697.0,289.0,129.0,94.0,129.62665808180424,0.18507890961262555,0.32525951557093424,75.74099407204741,Tyrone Taylor,NYM,OF
677594,4,1944.0,653.0,438.0,258.0,40.19639568110184,0.22530864197530864,0.39509954058192953,75.35924814869202,Julio Rodríguez,SEA,OF
645801,3,290.0,273.0,56.0,89.0,67.14632102639003,0.19310344827586207,0.326007326007326,68.82522239665097,,,
641598,5,1296.0,462.0,279.0,165.0,52.77922704625925,0.2152777777777778,0.35714285714285715,65.89861751152073,,,
669016,5,1476.0,618.0,192.0,132.0,222.10587435643438,0.13008130081300814,0.21359223300970873,64.19902912621357,Brandon Marsh,PHI,OF
624512,3,430.0,190.0,66.0,47.0,109.66056035206657,0.15348837209302327,0.24736842105263157,61.16427432216904,,,
643376,5,1136.0,362.0,260.0,133.0,155.89165835622276,0.22887323943661972,0.3674033149171271,60.52698682532937,Danny Jansen,TEX,C
596847,4,1033.0,399.0,226.0,135.0,70.31289678332769,0.21878025169409487,0.3383458646616541,54.65100805110119,,,
547379,3,579.0,302.0,88.0,70.0,391.2025069328355,0.15198618307426598,0.23178807947019867,52.50602046959661,,,
452254,3,846.0,383.0,170.0,117.0,118.78418914486316,0.20094562647754138,0.30548302872062666,52.02273076332361,,,
595978,7,1471.0,601.0,128.0,79.0,619.7267542111622,0.08701563562202583,0.1314475873544093,51.06203202995009,,,
660162,7,2172.0,963.0,381.0,254.0,103.42714064869612,0.17541436464088397,0.26375908618899274,50.36344755970925,Yoán Moncada,LAA,3B
645302,3,928.0,391.0,168.0,106.0,70.69284899428902,0.1810344827586207,0.2710997442455243,49.750334916575326,,,
673548,4,1634.0,622.0,401.0,228.0,69.6441614583568,0.24541003671970624,0.3665594855305466,49.36613450297087,Seiya Suzuki,CHC,OF
516770,5,2276.0,708.0,541.0,251.0,86.24761102514655,0.23769771528998243,0.3545197740112994,49.1473208224986,,,
650559,4,1321.0,501.0,222.0,125.0,205.7438137327805,0.1680545041635125,0.249500998003992,48.464332596069106,,,
452678,6,2350.0,767.0,621.0,298.0,74.94422704269881,0.2642553191489362,0.38852672750977835,47.02702248759728,,,
460576,4,1413.0,351.0,244.0,89.0,220.0915291252741,0.1726822363765039,0.2535612535612536,46.83690626313578,,,
642851,3,257.0,183.0,31.0,32.0,683.9555577247255,0.12062256809338522,0.17486338797814208,44.96738938833069,,,
448801,5,2058.0,675.0,274.0,129.0,578.2179098091532,0.13313896987366375,0.19111111111111112,43.542579075425806,,,
455139,3,885.0,287.0,187.0,87.0,25.124865961567846,0.21129943502824858,0.30313588850174217,43.4627065903967,,,
434158,5,2020.0,588.0,517.0,215.0,69.20019613143677,0.25594059405940595,0.3656462585034014,42.86372189107752,,,
607345,3,460.0,230.0,112.0,80.0,35.612299414386236,0.24347826086956523,0.34782608695652173,42.85714285714285,,,
628451,4,746.0,346.0,174.0,115.0,75.29905918329473,0.23324396782841822,0.33236994219653176,42.498837286559024,,,
444876,5,2090.0,763.0,431.0,223.0,68.62170910563124,0.20622009569377991,0.29226736566186107,41.72593833719016,,,
605131,3,464.0,210.0,114.0,73.0,2622.3815958003147,0.24568965517241378,0.3476190476190476,41.487050960735175,,,
672284,4,1081.0,341.0,128.0,57.0,254.42938674249484,0.11840888066604996,0.16715542521994134,41.167980205278575,,,
444379,3,715.0,234.0,199.0,91.0,33.23816408383723,0.2783216783216783,0.3888888888888889,39.726409826912345,,,
665833,3,1091.0,413.0,157.0,83.0,294.62390914447025,0.14390467461044912,0.2009685230024213,39.65392267238322,Oneil Cruz,PIT,OF
621439,5,1377.0,649.0,311.0,204.0,1148.2401506375872,0.22585330428467684,0.31432973805855163,39.17429238155164,Byron Buxton,MIN,OF
501303,3,438.0,248.0,86.0,67.0,20.09412831326661,0.1963470319634703,0.2701612903225806,37.59377344336084,,,
542255,4,1818.0,696.0,518.0,270.0,4.873169167965173,0.28492849284928495,0.3879310344827586,36.15031287445079,,,
