batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,rolling_trend,tag,season_stage
Brent Rooker,667670,618,Tier A,OF,DH,DH,128.5,103.7,96.3,127.7,0.501,0.286,0.383,0.05564,improving,Process+ elite; surface stats not yet elite,mature
Kerry Carpenter,681481,340,Tier B,OF,OF|DH,"OF, DH",128.1,101.1,98.4,127.0,0.511,0.33,0.383,0.08062,warm,Process+ elite; surface stats not yet elite,mature
Corey Seager,608369,529,Tier A,SS,SS,SS,128.0,120.3,106.0,119.5,0.532,0.286,0.392,0.07973,warm,Process+ elite; elite discipline; surface stats not yet elite,mature
Giancarlo Stanton,519317,536,Tier A,DH,DH,DH,126.5,89.2,100.1,127.1,0.469,0.277,0.368,0.06717,warm,Process+ elite; surface stats not yet elite,mature
Rafael Devers,646240,593,Tier A,DH,3B,3B,124.3,108.6,95.9,123.1,0.509,0.332,0.367,0.11082,hot,Process+ elite; trending up; surface stats not yet elite,mature
Jackson Merrill,701538,625,Tier A,OF,OF,OF,123.4,107.6,107.5,117.1,0.571,0.353,0.373,0.0446,cold,Process+ elite; surface stats not yet elite,mature
Salvador Pérez,521692,673,Tier A,C,C|1B|DH,"C, 1B, DH",122.9,106.7,106.0,117.5,0.581,0.447,0.36,0.0333,cold,Process+ elite; surface stats not yet elite,mature
Matt Wallner,670242,267,Tier B,OF,OF|DH,"OF, DH",122.5,111.6,79.5,128.2,0.479,0.265,0.357,0.10056,hot,Process+ elite; strong discipline; trending up; surface stats not yet elite,mature
Kyle Schwarber,656941,718,Tier A,OF,DH,DH,121.6,94.1,92.5,125.0,0.402,0.213,0.384,0.06852,warm,Process+ elite; surface stats not yet elite,mature
Ketel Marte,606466,596,Tier A,2B,2B|DH,"2B, DH",120.8,105.3,107.0,115.4,0.483,0.265,0.396,0.07495,warm,Process+ elite; surface stats not yet elite,mature
Oneil Cruz,665833,617,Tier A,OF,SS|OF,"SS, OF",120.8,81.6,98.1,124.2,0.464,0.322,0.346,0.06395,cold,Process+ elite; surface stats not yet elite,mature
Michael Toglia,669911,470,Tier A,1B,1B|OF,"1B, OF",120.5,96.6,88.2,125.4,0.451,0.288,0.362,0.07476,warm,Process+ elite; surface stats not yet elite,mature
Austin Riley,663586,472,Tier A,3B,3B,3B,120.1,116.0,95.2,117.9,0.501,0.294,0.368,0.08866,hot,Process+ elite; elite discipline; trending up; surface stats not yet elite,mature
Julio Rodríguez,677594,620,Tier A,OF,OF|DH,"OF, DH",119.5,107.8,97.5,117.9,0.541,0.358,0.35,0.13273,hot,Process+ elite; trending up; surface stats not yet elite,mature
Jordan Westburg,676059,466,Tier A,3B,2B|3B,"2B, 3B",119.2,111.2,105.1,113.5,0.508,0.292,0.357,0.06991,warm,Process+ elite; strong discipline; surface stats not yet elite,mature
Jesús Sánchez,660821,552,Tier A,OF,OF|DH,"OF, DH",119.1,96.7,103.4,117.2,0.536,0.327,0.348,0.07592,warm,Process+ elite; surface stats not yet elite,mature
Byron Buxton,621439,394,Tier B,OF,OF,OF,118.9,113.4,97.6,116.3,0.541,0.29,0.355,0.12485,hot,Process+ elite; strong discipline; trending up; surface stats not yet elite,mature
Yainer Diaz,673237,641,Tier A,C,C|1B|DH,"C, 1B, DH",118.3,109.5,110.5,110.6,0.586,0.423,0.344,0.1033,hot,Process+ elite; strong discipline; contact quality; trending up; surface stats not yet elite,mature
Gunnar Henderson,683002,729,Tier A,SS,SS,SS,118.0,95.6,102.6,116.6,0.444,0.239,0.373,0.05457,improving,Process+ elite; surface stats not yet elite,mature
Bryce Harper,547180,647,Tier A,1B,1B,1B,117.7,115.9,94.3,116.0,0.526,0.311,0.365,0.05416,cold,Process+ elite; elite discipline; surface stats not yet elite,mature
Michael Harris,671739,482,Tier A,OF,OF,OF,117.6,93.0,108.7,114.0,0.552,0.391,0.351,0.06307,improving,Process+ elite; surface stats not yet elite,mature
Mark Vientos,668901,531,Tier A,3B,3B,3B,117.4,101.8,94.6,118.5,0.501,0.33,0.337,0.07407,warm,Process+ elite; surface stats not yet elite,mature
James Wood,695578,338,Tier B,OF,OF,OF,117.3,79.2,100.0,120.5,0.382,0.241,0.356,0.03983,cold,Process+ elite; surface stats not yet elite,mature
Teoscar Hernández,606192,728,Tier A,OF,OF,OF,117.3,115.1,88.5,118.5,0.507,0.317,0.353,0.06316,improving,Process+ elite; elite discipline; surface stats not yet elite,mature
Brandon Lowe,664040,435,Tier A,2B,1B|2B|DH,"1B, 2B, DH",117.0,119.1,92.4,115.6,0.552,0.301,0.345,0.08525,hot,Process+ elite; elite discipline; trending up; surface stats not yet elite,mature
Francisco Lindor,596019,774,Tier A,SS,SS,SS,116.9,106.8,103.5,113.0,0.488,0.276,0.382,0.07048,warm,Process+ elite; surface stats not yet elite,mature
Jake Burger,669394,593,Tier A,1B,1B|3B|DH,"1B, 3B, DH",116.8,95.8,104.6,114.6,0.526,0.38,0.339,0.08005,warm,Process+ elite; surface stats not yet elite,mature
J. D. Martinez,502110,519,Tier A,DH,DH,DH,116.4,110.7,90.2,117.7,0.482,0.323,0.357,0.07741,warm,Process+ elite; strong discipline; surface stats not yet elite,mature
Joc Pederson,592626,467,Tier A,1B,DH,DH,116.3,85.3,97.1,119.6,0.443,0.301,0.382,0.01953,improving,Process+ elite; surface stats not yet elite,mature
Logan O'Hoppe,681351,532,Tier A,C,C,C,116.1,107.6,92.8,116.9,0.519,0.329,0.334,0.09897,hot,Process+ elite; trending up; surface stats not yet elite,mature
Christian Yelich,592885,314,Tier B,OF,OF|DH,"OF, DH",115.6,110.2,104.8,110.5,0.457,0.226,0.375,0.07775,warm,Process+ elite; strong discipline; surface stats not yet elite,mature
Tyler O'Neill,641933,477,Tier A,OF,OF|DH,"OF, DH",115.3,100.6,83.1,122.0,0.446,0.263,0.34,0.06756,warm,Process+ elite; surface stats not yet elite,mature
Cal Raleigh,663728,629,Tier A,C,C|DH,"C, DH",115.2,107.3,90.9,117.0,0.523,0.324,0.348,0.10487,hot,Process+ elite; trending up; surface stats not yet elite,mature
Riley Greene,682985,637,Tier A,OF,OF|DH,"OF, DH",114.9,98.7,95.3,116.4,0.442,0.257,0.357,0.08288,warm,Process+ strong; surface stats not yet elite,mature
