batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,contact_plus,power_plus,process_plus
592450,687,2776,0.06666278594285917,-0.006139072394666129,0.21967408312119083,0.2801977966693839,100.8,99.1,144.8,147.3
660271,783,3163,0.05919497518127267,-0.010939348179584262,0.20322382991651583,0.2514794569182042,93.5,97.1,141.5,141.3
665742,713,2994,0.056582017420148935,0.0131409232567533,0.12301761485713697,0.1927405555340392,91.0,107.5,125.7,129.0
656941,751,3170,0.0654526790287534,-0.0241635739858799,0.15086628107951264,0.19215538612238614,99.6,91.3,131.2,128.9
669065,469,1757,0.08690698907921164,-0.025840667722099128,0.11788094675735472,0.17894726811446723,120.6,90.6,124.7,126.1
701762,487,1950,0.06082164288163684,-0.028294200868740096,0.14520592033923418,0.17773336235213094,95.1,89.5,130.1,125.8
608369,439,1679,0.08292683520265362,0.0021254809915395244,0.09023551865777076,0.17528783485196392,116.7,102.7,119.3,125.3
624413,716,2851,0.06499094703690195,0.0026754244913042608,0.10710474577087212,0.17477111729907832,99.2,103.0,122.6,125.2
666018,428,1759,0.0685971959083595,-0.02000105963263646,0.1210520591830963,0.16964819545881935,102.7,93.1,125.3,124.2
519317,310,1330,0.04952915027946156,-0.019288161534893346,0.13822372198200766,0.16846471072657587,84.1,93.4,128.7,123.9
666176,582,2245,0.07759633674080624,-0.009141039437903242,0.09952647512649003,0.16798177242939302,111.5,97.8,121.1,123.8
543807,672,2615,0.08279757338229704,-8.087974848230707e-05,0.08373659618767754,0.16645328982149227,116.6,101.8,118.0,123.5
700250,565,2178,0.059478535362537596,0.022481271682250004,0.08306946773405434,0.16502927477884194,93.8,111.6,117.8,123.2
670541,197,814,0.05090496017583094,0.025266094996568997,0.08686061357930384,0.16303166875170377,85.4,112.8,118.6,122.8
660670,407,1735,0.08997313367713326,-0.04160197401558126,0.11038992185384175,0.15876108151539375,123.6,83.8,123.2,121.9
663728,756,3062,0.07051489423899401,-0.02184153443369964,0.10961881159885337,0.15829217140414775,104.6,92.3,123.1,121.8
665489,768,2863,0.060389412490783445,0.049951160554309655,0.047481036883441914,0.157821609928535,94.7,123.5,110.8,121.7
521692,647,2309,0.07023941652493378,0.016178350719095822,0.07081849563619796,0.15723626288022757,104.3,108.8,115.4,121.6
695578,689,2907,0.03852558028124304,-0.01910118888370528,0.13651619972674225,0.15594059112428002,73.3,93.5,128.4,121.3
663330,160,628,0.07418716886768124,-0.010106693490013427,0.08881469814004711,0.15289517351771492,108.2,97.4,119.0,120.7
683737,613,2400,0.07520380622865756,-0.00813163735798141,0.08181005566096672,0.14888222453164288,109.2,98.3,117.6,119.8
677951,692,2556,0.07130917518883378,0.022662910688824523,0.05352219028696518,0.1474942761646235,105.4,111.6,112.0,119.5
677594,771,2756,0.07699144635767036,0.002191238120703952,0.06782586152943829,0.1470085460078126,110.9,102.8,114.8,119.4
701538,506,1788,0.0743131314363009,0.00023626703713997178,0.07259821942220385,0.14714761789564473,108.3,101.9,115.8,119.4
